Month,Symbol,Close,Volume,Date,
02/2020,EFX,152.27,527400,03/02/2020,
03/2020,EFX,150.87,1220000,02/03/2020,
04/2020,EFX,113.47,1087600,01/04/2020,
05/2020,EFX,137.89,702500,01/05/2020,
06/2020,EFX,155.05,949800,01/06/2020,
07/2020,EFX,173.57,682700,01/07/2020,
08/2020,EFX,162.86,411700,03/08/2020,
09/2020,EFX,168.69,623100,01/09/2020,
10/2020,EFX,158.01,588900,01/10/2020,
11/2020,EFX,141.85,1395300,02/11/2020,
12/2020,EFX,166.94,472300,01/12/2020,
01/2020,EQIX,579.35,448500,02/01/2020,
02/2020,EQIX,603.6,445700,03/02/2020,
03/2020,EQIX,618.88,757100,02/03/2020,
04/2020,EQIX,595.46,714800,01/04/2020,
05/2020,EQIX,670.85,346700,01/05/2020,
06/2020,EQIX,710.17,447200,01/06/2020,
07/2020,EQIX,728.17,573400,01/07/2020,
08/2020,EQIX,779.12,386500,03/08/2020,
09/2020,EQIX,789.8,306400,01/09/2020,
10/2020,EQIX,768.35,378200,01/10/2020,
11/2020,EQIX,738.32,426500,02/11/2020,
12/2020,EQIX,712.58,798100,01/12/2020,
01/2020,EQR,79.77,1797800,02/01/2020,
02/2020,EQR,82.84,1560500,03/02/2020,
03/2020,EQR,79.07,2325400,02/03/2020,
04/2020,EQR,57.7,2907300,01/04/2020,
05/2020,EQR,62.31,2073100,01/05/2020,
06/2020,EQR,61.1,3035300,01/06/2020,
07/2020,EQR,60.83,1901600,01/07/2020,
08/2020,EQR,52.33,2292600,03/08/2020,
09/2020,EQR,56.78,2320300,01/09/2020,
10/2020,EQR,53.44,3141800,01/10/2020,
11/2020,EQR,49.31,3289300,02/11/2020,
12/2020,EQR,58.99,2048700,01/12/2020,
01/2020,ESS,298.28,412400,02/01/2020,
02/2020,ESS,311.39,515800,03/02/2020,
03/2020,ESS,293.44,751100,02/03/2020,
04/2020,ESS,200.32,765000,01/04/2020,
05/2020,ESS,236.81,393400,01/05/2020,
06/2020,ESS,246.91,359900,01/06/2020,
07/2020,ESS,239.37,475900,01/07/2020,
08/2020,ESS,214.24,460600,03/08/2020,
09/2020,ESS,215.21,329800,01/09/2020,
10/2020,ESS,206.82,432000,01/10/2020,
11/2020,ESS,217,934700,02/11/2020,
12/2020,ESS,246.54,450500,01/12/2020,
01/2020,EL,206.26,1138700,02/01/2020,
02/2020,EL,196.2,2301600,03/02/2020,
03/2020,EL,193.33,3350100,02/03/2020,
04/2020,EL,153.38,1822200,01/04/2020,
05/2020,EL,172.54,2190300,01/05/2020,
06/2020,EL,200.43,1452100,01/06/2020,
07/2020,EL,189.33,828500,01/07/2020,
08/2020,EL,198.17,947100,03/08/2020,
09/2020,EL,220.99,1710300,01/09/2020,
10/2020,EL,219.53,897000,01/10/2020,
11/2020,EL,223.85,2442300,02/11/2020,
12/2020,EL,247.17,1523300,01/12/2020,
01/2020,ETSY,45.19,2152300,02/01/2020,
02/2020,ETSY,49.36,1852700,03/02/2020,
03/2020,ETSY,58.84,5572800,02/03/2020,
04/2020,ETSY,35.45,2225900,01/04/2020,
05/2020,ETSY,64.44,3334400,01/05/2020,
06/2020,ETSY,78.59,2290400,01/06/2020,
07/2020,ETSY,111.21,3273500,01/07/2020,
08/2020,ETSY,126.62,4663200,03/08/2020,
09/2020,ETSY,125.05,3038300,01/09/2020,
10/2020,ETSY,131.69,5745100,01/10/2020,
11/2020,ETSY,126.44,3837800,02/11/2020,
12/2020,ETSY,154.67,3252100,01/12/2020,
01/2020,EVRG,63.44,2008000,02/01/2020,
02/2020,EVRG,71.81,1386900,03/02/2020,
03/2020,EVRG,69.39,4823800,02/03/2020,
04/2020,EVRG,51.75,1479600,01/04/2020,
05/2020,EVRG,55.92,1208900,01/05/2020,
06/2020,EVRG,62.96,1969100,01/06/2020,
07/2020,EVRG,61.01,1507600,01/07/2020,
08/2020,EVRG,62.68,1990000,03/08/2020,
09/2020,EVRG,52.66,1589600,01/09/2020,
10/2020,EVRG,50.82,1712000,01/10/2020,
11/2020,EVRG,56.31,1339500,02/11/2020,
12/2020,EVRG,55.56,1640900,01/12/2020,
01/2020,ES,83.23,3278200,02/01/2020,
02/2020,ES,92.41,1399200,03/02/2020,
03/2020,ES,93.62,3191500,02/03/2020,
04/2020,ES,75.99,2425700,01/04/2020,
05/2020,ES,79.87,1543000,01/05/2020,
06/2020,ES,85.58,1931900,01/06/2020,
07/2020,ES,85.11,1528000,01/07/2020,
08/2020,ES,89.49,1019000,03/08/2020,
09/2020,ES,83.66,1429800,01/09/2020,
10/2020,ES,85.45,1644900,01/10/2020,
11/2020,ES,90.59,1343100,02/11/2020,
12/2020,ES,88.22,1777000,01/12/2020,
01/2020,RE,278.15,181300,02/01/2020,
02/2020,RE,279.59,288100,03/02/2020,
03/2020,RE,258.16,771700,02/03/2020,
04/2020,RE,181.24,438100,01/04/2020,
05/2020,RE,165.01,322800,01/05/2020,
06/2020,RE,193.77,439700,01/06/2020,
07/2020,RE,203.89,266200,01/07/2020,
08/2020,RE,220.96,326900,03/08/2020,
09/2020,RE,217.87,184500,01/09/2020,
10/2020,RE,196.93,346700,01/10/2020,
11/2020,RE,207,365400,02/11/2020,
12/2020,RE,230.71,271300,01/12/2020,
01/2020,EXC,45.43,5011800,02/01/2020,
02/2020,EXC,48.2,6122900,03/02/2020,
03/2020,EXC,45.43,9653800,02/03/2020,
04/2020,EXC,33.48,5835500,01/04/2020,
05/2020,EXC,35.8,4856300,01/05/2020,
06/2020,EXC,38.84,3819500,01/06/2020,
07/2020,EXC,37.36,5670500,01/07/2020,
08/2020,EXC,37.99,4724100,03/08/2020,
09/2020,EXC,36.33,4373800,01/09/2020,
10/2020,EXC,35.83,4727100,01/10/2020,
11/2020,EXC,40.96,5063600,02/11/2020,
12/2020,EXC,41.25,5704400,01/12/2020,
01/2020,EXPE,110.98,3481200,02/01/2020,
02/2020,EXPE,107.8,2970800,03/02/2020,
03/2020,EXPE,96.73,4849000,02/03/2020,
04/2020,EXPE,52,4743100,01/04/2020,
05/2020,EXPE,67.29,3483200,01/05/2020,
06/2020,EXPE,82.42,3796100,01/06/2020,
07/2020,EXPE,84.44,3163200,01/07/2020,
08/2020,EXPE,79.96,3514000,03/08/2020,
09/2020,EXPE,99.25,1967800,01/09/2020,
10/2020,EXPE,92.06,2434600,01/10/2020,
11/2020,EXPE,94.72,2571100,02/11/2020,
12/2020,EXPE,126.22,1987200,01/12/2020,
01/2020,EXPD,78.35,1062400,02/01/2020,
02/2020,EXPD,72.7,1440600,03/02/2020,
03/2020,EXPD,71.94,2449700,02/03/2020,
